/rdsdbbin/mysql/bin/mysqld, Version: 5.7.37-log (Source distribution). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2023-06-19T12:11:14.359539Z	    2 Connect	rdsadmin@localhost on  using TCP/IP
2023-06-19T12:11:14.692523Z	    2 Query	SET @@sql_log_bin=on
2023-06-19T12:11:19.353319Z	    2 Query	SELECT 1
2023-06-19T12:11:19.353917Z	    2 Query	SELECT 1
2023-06-19T12:11:19.354801Z	    2 Query	SELECT 1
2023-06-19T12:11:19.355388Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:11:19.356962Z	    2 Query	SELECT 1
2023-06-19T12:11:19.357414Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:11:19.394983Z	    2 Query	SELECT 1
2023-06-19T12:11:19.395490Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:11:34.352966Z	    2 Query	SELECT 1
2023-06-19T12:11:34.353560Z	    2 Query	SELECT 1
2023-06-19T12:11:34.354397Z	    2 Query	SELECT 1
2023-06-19T12:11:34.354941Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:11:34.355688Z	    2 Query	SELECT 1
2023-06-19T12:11:34.356135Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:11:34.390427Z	    2 Query	SELECT 1
2023-06-19T12:11:34.390979Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:11:43.236609Z	    2 Query	SELECT 1
2023-06-19T12:11:43.237138Z	    2 Query	SELECT 1
2023-06-19T12:11:49.353337Z	    2 Query	SELECT 1
2023-06-19T12:11:49.353913Z	    2 Query	SELECT 1
2023-06-19T12:11:49.354779Z	    2 Query	SELECT 1
2023-06-19T12:11:49.355360Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:11:49.356133Z	    2 Query	SELECT 1
2023-06-19T12:11:49.356615Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:11:49.392088Z	    2 Query	SELECT 1
2023-06-19T12:11:49.392622Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:12:00.023115Z	    2 Query	SELECT 1
2023-06-19T12:12:00.088105Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:00.202425Z	    2 Query	SELECT 1
2023-06-19T12:12:00.251221Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:12:00.370688Z	    2 Query	SELECT 1
2023-06-19T12:12:00.384995Z	    2 Query	SELECT version()
2023-06-19T12:12:00.392608Z	    2 Query	SELECT 1
2023-06-19T12:12:00.395786Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:12:00.438020Z	    2 Query	SELECT 1
2023-06-19T12:12:00.457860Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:00.460634Z	    2 Query	SELECT 1
2023-06-19T12:12:00.461109Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:00.464764Z	    2 Query	SELECT 1
2023-06-19T12:12:00.465547Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:00.467895Z	    2 Query	SELECT 1
2023-06-19T12:12:00.471669Z	    2 Query	SELECT version()
2023-06-19T12:12:00.475201Z	    2 Query	SELECT 1
2023-06-19T12:12:00.475927Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:12:00.476790Z	    2 Query	SELECT 1
2023-06-19T12:12:00.477229Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:00.480594Z	    2 Query	SELECT 1
2023-06-19T12:12:00.488511Z	    2 Query	start slave
2023-06-19T12:12:01.418411Z	    3 Connect Out	rdsrepladmin@172.17.0.40:3306
2023-06-19T12:12:01.495865Z	    2 Query	SELECT 1
2023-06-19T12:12:01.496437Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:01.498651Z	    2 Query	SELECT 1
2023-06-19T12:12:01.499138Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:01.501266Z	    2 Query	SELECT 1
2023-06-19T12:12:01.501716Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:12:01.504331Z	    2 Query	SELECT 1
2023-06-19T12:12:01.504901Z	    2 Query	SELECT version()
2023-06-19T12:12:01.505923Z	    2 Query	SELECT 1
2023-06-19T12:12:01.506400Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:12:04.353453Z	    2 Query	SELECT 1
2023-06-19T12:12:04.354100Z	    2 Query	SELECT 1
2023-06-19T12:12:04.354972Z	    2 Query	SELECT 1
2023-06-19T12:12:04.355478Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:12:04.356239Z	    2 Query	SELECT 1
2023-06-19T12:12:04.356673Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:12:04.391044Z	    2 Query	SELECT 1
2023-06-19T12:12:04.391579Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:12:19.353969Z	    2 Query	SELECT 1
2023-06-19T12:12:19.354477Z	    2 Query	SELECT 1
2023-06-19T12:12:19.355350Z	    2 Query	SELECT 1
2023-06-19T12:12:19.355868Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:12:19.356628Z	    2 Query	SELECT 1
2023-06-19T12:12:19.357067Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:12:19.380418Z	    5 Connect	rdsadmin@localhost on  using Socket
2023-06-19T12:12:19.380484Z	    5 Statistics	
2023-06-19T12:12:19.383233Z	    5 Quit	
2023-06-19T12:12:19.415229Z	    2 Query	SELECT 1
2023-06-19T12:12:19.415745Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:12:34.353991Z	    2 Query	SELECT 1
2023-06-19T12:12:34.354617Z	    2 Query	SELECT 1
2023-06-19T12:12:34.355527Z	    2 Query	SELECT 1
2023-06-19T12:12:34.356081Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:12:34.356852Z	    2 Query	SELECT 1
2023-06-19T12:12:34.357326Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:12:34.392596Z	    2 Query	SELECT 1
2023-06-19T12:12:34.393110Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:12:49.353822Z	    2 Query	SELECT 1
2023-06-19T12:12:49.354384Z	    2 Query	SELECT 1
2023-06-19T12:12:49.355275Z	    2 Query	SELECT 1
2023-06-19T12:12:49.355809Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:12:49.356582Z	    2 Query	SELECT 1
2023-06-19T12:12:49.357046Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:12:49.387965Z	    2 Query	SELECT 1
2023-06-19T12:12:49.388487Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:13:00.020109Z	    2 Query	SELECT 1
2023-06-19T12:13:00.075441Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:13:00.197933Z	    2 Query	SELECT 1
2023-06-19T12:13:00.244379Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:13:00.319028Z	    2 Query	SELECT 1
2023-06-19T12:13:00.335008Z	    2 Query	SELECT version()
2023-06-19T12:13:00.339851Z	    2 Query	SELECT 1
2023-06-19T12:13:00.341824Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:13:00.377023Z	    2 Query	SELECT 1
2023-06-19T12:13:00.402933Z	    2 Query	SELECT version()
2023-06-19T12:13:00.409632Z	    2 Query	SELECT 1
2023-06-19T12:13:00.410457Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:13:04.353521Z	    2 Query	SELECT 1
2023-06-19T12:13:04.354058Z	    2 Query	SELECT 1
2023-06-19T12:13:04.354936Z	    2 Query	SELECT 1
2023-06-19T12:13:04.355441Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:13:04.356193Z	    2 Query	SELECT 1
2023-06-19T12:13:04.356633Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:13:04.403908Z	    2 Query	SELECT 1
2023-06-19T12:13:04.404448Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:13:19.353509Z	    2 Query	SELECT 1
2023-06-19T12:13:19.354095Z	    2 Query	SELECT 1
2023-06-19T12:13:19.354996Z	    2 Query	SELECT 1
2023-06-19T12:13:19.355507Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:13:19.356255Z	    2 Query	SELECT 1
2023-06-19T12:13:19.356711Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:13:19.386624Z	    2 Query	SELECT 1
2023-06-19T12:13:19.387231Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:13:34.352984Z	    2 Query	SELECT 1
2023-06-19T12:13:34.353589Z	    2 Query	SELECT 1
2023-06-19T12:13:34.354441Z	    2 Query	SELECT 1
2023-06-19T12:13:34.354988Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:13:34.355735Z	    2 Query	SELECT 1
2023-06-19T12:13:34.356226Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:13:34.389639Z	    2 Query	SELECT 1
2023-06-19T12:13:34.390149Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:13:49.353456Z	    2 Query	SELECT 1
2023-06-19T12:13:49.353992Z	    2 Query	SELECT 1
2023-06-19T12:13:49.354872Z	    2 Query	SELECT 1
2023-06-19T12:13:49.355385Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:13:49.356127Z	    2 Query	SELECT 1
2023-06-19T12:13:49.356568Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:13:49.386975Z	    2 Query	SELECT 1
2023-06-19T12:13:49.387505Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:14:00.025745Z	    2 Query	SELECT 1
2023-06-19T12:14:00.082946Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:14:00.193750Z	    2 Query	SELECT 1
2023-06-19T12:14:00.266763Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:14:00.306902Z	    2 Query	SELECT 1
2023-06-19T12:14:00.327474Z	    2 Query	SELECT version()
2023-06-19T12:14:00.332390Z	    2 Query	SELECT 1
2023-06-19T12:14:00.334437Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:14:00.354306Z	    2 Query	SELECT 1
2023-06-19T12:14:00.379779Z	    2 Query	SELECT version()
2023-06-19T12:14:00.407048Z	    2 Query	SELECT 1
2023-06-19T12:14:00.407876Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:14:04.353954Z	    2 Query	SELECT 1
2023-06-19T12:14:04.354583Z	    2 Query	SELECT 1
2023-06-19T12:14:04.355502Z	    2 Query	SELECT 1
2023-06-19T12:14:04.356029Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:14:04.356781Z	    2 Query	SELECT 1
2023-06-19T12:14:04.357234Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:14:04.390346Z	    2 Query	SELECT 1
2023-06-19T12:14:04.390918Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:14:19.353200Z	    2 Query	SELECT 1
2023-06-19T12:14:19.353748Z	    2 Query	SELECT 1
2023-06-19T12:14:19.354606Z	    2 Query	SELECT 1
2023-06-19T12:14:19.355149Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:14:19.355913Z	    2 Query	SELECT 1
2023-06-19T12:14:19.356355Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:14:19.387082Z	    2 Query	SELECT 1
2023-06-19T12:14:19.387614Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:14:34.353584Z	    2 Query	SELECT 1
2023-06-19T12:14:34.354227Z	    2 Query	SELECT 1
2023-06-19T12:14:34.355123Z	    2 Query	SELECT 1
2023-06-19T12:14:34.355657Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:14:34.356399Z	    2 Query	SELECT 1
2023-06-19T12:14:34.356837Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:14:34.388270Z	    2 Query	SELECT 1
2023-06-19T12:14:34.388789Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:14:49.369689Z	    2 Query	SELECT 1
2023-06-19T12:14:49.370218Z	    2 Query	SELECT 1
2023-06-19T12:14:49.371089Z	    2 Query	SELECT 1
2023-06-19T12:14:49.371596Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:14:49.372333Z	    2 Query	SELECT 1
2023-06-19T12:14:49.372772Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:14:49.402989Z	    2 Query	SELECT 1
2023-06-19T12:14:49.403492Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:14:56.253389Z	    4 Query	BEGIN
2023-06-19T12:14:56.253633Z	    4 Query	INSERT INTO mysql.rds_heartbeat2(id, value) values (1,1687176896208) ON DUPLICATE KEY UPDATE value = 1687176896208
2023-06-19T12:14:56.253650Z	    4 Query	COMMIT /* implicit, from Xid_log_event */
2023-06-19T12:15:00.115987Z	    2 Query	SELECT 1
2023-06-19T12:15:00.191102Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:15:00.352216Z	    2 Query	SELECT 1
2023-06-19T12:15:00.523197Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:15:00.726921Z	    2 Query	SELECT 1
2023-06-19T12:15:00.796322Z	    2 Query	SELECT version()
2023-06-19T12:15:00.846901Z	    2 Query	SELECT 1
2023-06-19T12:15:00.878931Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:15:00.955138Z	    2 Query	SELECT 1
2023-06-19T12:15:00.974917Z	    2 Query	SELECT version()
2023-06-19T12:15:00.990710Z	    2 Query	SELECT 1
2023-06-19T12:15:01.009482Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:15:01.036632Z	    2 Query	SELECT 1
2023-06-19T12:15:01.039696Z	    2 Query	SELECT @@session.transaction_read_only
2023-06-19T12:15:01.043592Z	    2 Query	flush logs
/rdsdbbin/mysql/bin/mysqld, Version: 5.7.37-log (Source distribution). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2023-06-19T12:15:04.353949Z	    2 Query	SELECT 1
2023-06-19T12:15:04.354580Z	    2 Query	SELECT 1
2023-06-19T12:15:04.355475Z	    2 Query	SELECT 1
2023-06-19T12:15:04.355997Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:15:04.356771Z	    2 Query	SELECT 1
2023-06-19T12:15:04.357227Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:15:04.388201Z	    2 Query	SELECT 1
2023-06-19T12:15:04.388735Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:15:19.354032Z	    2 Query	SELECT 1
2023-06-19T12:15:19.354633Z	    2 Query	SELECT 1
2023-06-19T12:15:19.355691Z	    2 Query	SELECT 1
2023-06-19T12:15:19.356384Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:15:19.357231Z	    2 Query	SELECT 1
2023-06-19T12:15:19.357654Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:15:19.389257Z	    2 Query	SELECT 1
2023-06-19T12:15:19.389760Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:15:34.353851Z	    2 Query	SELECT 1
2023-06-19T12:15:34.354517Z	    2 Query	SELECT 1
2023-06-19T12:15:34.355400Z	    2 Query	SELECT 1
2023-06-19T12:15:34.355925Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:15:34.356669Z	    2 Query	SELECT 1
2023-06-19T12:15:34.357111Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:15:34.387089Z	    2 Query	SELECT 1
2023-06-19T12:15:34.387565Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:15:49.353465Z	    2 Query	SELECT 1
2023-06-19T12:15:49.354053Z	    2 Query	SELECT 1
2023-06-19T12:15:49.355006Z	    2 Query	SELECT 1
2023-06-19T12:15:49.355592Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:15:49.356421Z	    2 Query	SELECT 1
2023-06-19T12:15:49.356894Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:15:49.387971Z	    2 Query	SELECT 1
2023-06-19T12:15:49.388482Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:16:00.077036Z	    2 Query	SELECT 1
2023-06-19T12:16:00.131719Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:16:00.238053Z	    2 Query	SELECT 1
2023-06-19T12:16:00.280482Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:16:00.352063Z	    2 Query	SELECT 1
2023-06-19T12:16:00.367340Z	    2 Query	SELECT version()
2023-06-19T12:16:00.371987Z	    2 Query	SELECT 1
2023-06-19T12:16:00.373971Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:16:00.421228Z	    2 Query	SELECT 1
2023-06-19T12:16:00.433868Z	    2 Query	SELECT version()
2023-06-19T12:16:00.440213Z	    2 Query	SELECT 1
2023-06-19T12:16:00.440924Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:16:04.353658Z	    2 Query	SELECT 1
2023-06-19T12:16:04.354306Z	    2 Query	SELECT 1
2023-06-19T12:16:04.355226Z	    2 Query	SELECT 1
2023-06-19T12:16:04.355769Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:16:04.356596Z	    2 Query	SELECT 1
2023-06-19T12:16:04.357064Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:16:04.389099Z	    2 Query	SELECT 1
2023-06-19T12:16:04.389635Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:16:19.353889Z	    2 Query	SELECT 1
2023-06-19T12:16:19.354423Z	    2 Query	SELECT 1
2023-06-19T12:16:19.355305Z	    2 Query	SELECT 1
2023-06-19T12:16:19.355822Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:16:19.356547Z	    2 Query	SELECT 1
2023-06-19T12:16:19.356982Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:16:19.392841Z	    2 Query	SELECT 1
2023-06-19T12:16:19.393374Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:16:34.353935Z	    2 Query	SELECT 1
2023-06-19T12:16:34.354521Z	    2 Query	SELECT 1
2023-06-19T12:16:34.355395Z	    2 Query	SELECT 1
2023-06-19T12:16:34.355907Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:16:34.356659Z	    2 Query	SELECT 1
2023-06-19T12:16:34.357095Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:16:34.448207Z	    2 Query	SELECT 1
2023-06-19T12:16:34.455114Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:16:49.353573Z	    2 Query	SELECT 1
2023-06-19T12:16:49.354114Z	    2 Query	SELECT 1
2023-06-19T12:16:49.354989Z	    2 Query	SELECT 1
2023-06-19T12:16:49.355523Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:16:49.356253Z	    2 Query	SELECT 1
2023-06-19T12:16:49.356702Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:16:49.406453Z	    2 Query	SELECT 1
2023-06-19T12:16:49.407028Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:17:00.019874Z	    2 Query	SELECT 1
2023-06-19T12:17:00.071896Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:17:00.205572Z	    2 Query	SELECT 1
2023-06-19T12:17:00.255472Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:17:00.314899Z	    2 Query	SELECT 1
2023-06-19T12:17:00.334917Z	    2 Query	SELECT version()
2023-06-19T12:17:00.346551Z	    2 Query	SELECT 1
2023-06-19T12:17:00.363754Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:17:00.372920Z	    2 Query	SELECT 1
2023-06-19T12:17:00.398023Z	    2 Query	SELECT version()
2023-06-19T12:17:00.419419Z	    2 Query	SELECT 1
2023-06-19T12:17:00.433527Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:17:04.353589Z	    2 Query	SELECT 1
2023-06-19T12:17:04.354209Z	    2 Query	SELECT 1
2023-06-19T12:17:04.355094Z	    2 Query	SELECT 1
2023-06-19T12:17:04.355605Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:17:04.356357Z	    2 Query	SELECT 1
